JSON,CUTOFF,QUERY_ID,QUERY_TEXT,SKIP_TIME_NANO_SECONDS
crossref1_(551MB),128,3,$.items[*].member,90960735.2
crossref1_(551MB),256,3,$.items[*].member,90595125
crossref1_(551MB),512,3,$.items[*].member,90577784.8
crossref1_(551MB),1024,3,$.items[*].member,88533486.8
crossref1_(551MB),2048,3,$.items[*].member,74485370.4
crossref1_(551MB),0,4,$.items[*].score,99663600.8
crossref1_(551MB),64,4,$.items[*].score,99248047.8
crossref1_(551MB),128,4,$.items[*].score,91009244.8
crossref1_(551MB),256,4,$.items[*].score,90645166.8
crossref1_(551MB),512,4,$.items[*].score,90630887
crossref1_(551MB),1024,4,$.items[*].score,88435909.8
crossref1_(551MB),2048,4,$.items[*].score,74292614.8
crossref1_(551MB),0,5,$.items[*].resource.primary.URL,97112305.6
crossref1_(551MB),64,5,$.items[*].resource.primary.URL,90655824.4
crossref1_(551MB),128,5,$.items[*].resource.primary.URL,90649792.8
crossref1_(551MB),256,5,$.items[*].resource.primary.URL,90644135.6
crossref1_(551MB),512,5,$.items[*].resource.primary.URL,90643021.8
crossref1_(551MB),1024,5,$.items[*].resource.primary.URL,88687633.6
crossref1_(551MB),2048,5,$.items[*].resource.primary.URL,74640074.8
crossref1_(551MB),0,6,$.items[*].issued,127837787.2
crossref1_(551MB),64,6,$.items[*].issued,109185324.2
crossref1_(551MB),128,6,$.items[*].issued,91311222.6
crossref1_(551MB),256,6,$.items[*].issued,87324244.8
crossref1_(551MB),512,6,$.items[*].issued,85907587.8
crossref1_(551MB),1024,6,$.items[*].issued,81817894.6
crossref1_(551MB),2048,6,$.items[*].issued,67547146
crossref1_(551MB),0,7,$.items[*].author[*].given,162722390.2
crossref1_(551MB),64,7,$.items[*].author[*].given,135853434
crossref1_(551MB),128,7,$.items[*].author[*].given,87039271.6
crossref1_(551MB),256,7,$.items[*].author[*].given,77839418
crossref1_(551MB),512,7,$.items[*].author[*].given,74459775.4
